id = 251
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = Priv comunication
inspiretex = Private comunication from Silvia Niccolai
reference2 = bin averages from Adam


### Scattering Process

frame = Trento

in1particle = e-
in1energy = 11
in1energyunit = GeV

in2particle = p
in2polarizationvector = T
in2polarization = +1

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 
# Acos(phi)sin(phi-90) or -Acos^2(phi) 


y1name = AUTI
y1namelong =  transversal target spin asymmetry, interference part
y1unit = 1
y1value = column4
y1errorstatistic = column5
y1errorsystematic = column6


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = varFTn
x4unit = 1
x4value = -1

x5name = FTn
x5unit = 1
x5value = 1

### Data
table=
#
#  CLAS AUTI  (amplitud sign changed)
#                                    error
#  Q2      xB      -t     A   errstat    syst
#################################################################
#1.76844 0.12489 1.61421 -0.569735 0.0693552 0
#1.90043 0.179856 1.39071 -0.369407 0.107809 0
#1.97501 0.272702 1.34327 -0.179119 0.115097 0
#2.44098 0.149417 1.81358 -0.536565 0.080119 0
#2.68574 0.182614 1.55761 -0.44866 0.0970056 0
#2.98153 0.322961 1.52805 -0.677173 0.100388 0
#5.1199 0.442012 1.6935 -0.701161 0.103779 0
#1.75879 0.125987 0.670451 -0.475788 0.110168 0
#1.8951 0.179096 0.681295 -0.339361 0.108401 0
#1.97082 0.274138 0.680759 -0.472299 0.0773446 0
2.44542 0.149845 0.668298 -0.241104 0.126318 0
2.69105 0.182294 0.673512 -0.234662 0.0821117 0
3.01318 0.311397 0.672376 -0.709763 0.110263 0
5.06998 0.412417 0.668854 -0.806487 0.102719 0
1.76846 0.125263 0.402873 -0.400129 0.0904378 0
1.94027 0.178463 0.400617 -0.501994 0.114332 0
1.98869 0.270517 0.391066 -0.690308 0.113687 0
2.43937 0.150177 0.400547 -0.264181 0.0721805 0
2.69584 0.182339 0.396742 -0.386518 0.120889 0
3.01566 0.298315 0.395984 -0.787602 0.114914 0
4.85442 0.37164 0.40134 -0.655595 0.077013 0
1.78011 0.130541 0.169764 -0.459629 0.141325 0
1.90792 0.180025 0.159677 -0.579123 0.132276 0
1.98312 0.240857 0.181509 -0.670341 0.0391314 0
2.43207 0.15146 0.189118 -0.245911 0.11316 0
2.63149 0.182507 0.177951 -0.349296 0.0874527 0
2.97587 0.256584 0.188745 -0.618619 0.0961945 0
4.43277 0.314688 0.19762 -0.47966 0.072801 0
