id = 270
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = priv comunication
inspiretex = priv comunication
reference2 = bin averages from Melany Higuera


### Scattering Process

frame = Trento

in1particle = em
in1energy = 11
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2025 BTSA (DSA)
#                                                 error
#   Q2       xB         -t    phi    BTSA      stat    syst
###########################################################
1.70482 0.11924 0.70807 9.39002 0.176292 0.0989503 0
1.70482 0.11924 0.70807 26.1076 0.278426 0.0567708 0
1.70482 0.11924 0.70807 38.5585 0.192184 0.0530549 0
1.70482 0.11924 0.70807 56.2306 0.350722 0.096703 0
1.70482 0.11924 0.70807 158.762 0.351265 0.11415 0
1.70482 0.11924 0.70807 283.326 0.335431 0.107137 0
1.70482 0.11924 0.70807 315.838 0.202965 0.0724478 0
1.70482 0.11924 0.70807 329.284 0.210384 0.0481889 0
1.70482 0.11924 0.70807 344.854 0.207703 0.0664243 0
1.92428 0.2129 0.79784 7.82146 0.198225 0.0559218 0
1.92428 0.2129 0.79784 21.4056 0.134501 0.0645412 0
1.92428 0.2129 0.79784 43.2145 0.133032 0.109714 0
1.92428 0.2129 0.79784 104.668 0.195577 0.150881 0
1.92428 0.2129 0.79784 164.281 0.217508 0.128455 0
1.92428 0.2129 0.79784 241.86 0.500114 0.167412 0
1.92428 0.2129 0.79784 291.857 0.450787 0.146818 0
1.92428 0.2129 0.79784 322.304 0.147436 0.097592 0
1.92428 0.2129 0.79784 346.216 0.176573 0.0358936 0
1.68406 0.11481 0.3203 15.5881 0.182574 0.088291 0
1.68406 0.11481 0.3203 33.3398 0.176686 0.0564348 0
1.68406 0.11481 0.3203 46.8906 0.186921 0.0547747 0
1.68406 0.11481 0.3203 61.4391 0.246831 0.0792583 0
1.68406 0.11481 0.3203 107.988 0.254853 0.0944315 0
1.68406 0.11481 0.3203 247.388 0.14892 0.0936436 0
1.68406 0.11481 0.3203 299.834 0.299102 0.0799363 0
1.68406 0.11481 0.3203 314.25 0.203202 0.0507575 0
1.68406 0.11481 0.3203 332.645 0.23237 0.04823 0
1.96658 0.18729 0.33239 7.83851 0.287613 0.0575747 0
1.96658 0.18729 0.33239 21.9552 0.247419 0.0592599 0
1.96658 0.18729 0.33239 35.7655 0.12551 0.0872739 0
1.96658 0.18729 0.33239 68.7849 0.426234 0.126551 0
1.96658 0.18729 0.33239 130.325 0.266076 0.131403 0
1.96658 0.18729 0.33239 199.171 0.323141 0.125406 0
1.96658 0.18729 0.33239 302.589 0.247739 0.121183 0
1.96658 0.18729 0.33239 328.751 0.256706 0.0746565 0
