id = 280
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = priv comunication
inspiretex = priv comunication
reference2 = bin averages from Melany Higuera

### Scattering Process

frame = Trento

in1particle = em
in1energy = 11
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2015 TSA
#                                                  error
#   Q2       xB        -t     phi    TSA       stat    syst
###########################################################
1.70482 0.11924 0.70807 9.39002 -0.0330118 0.0826006 0
1.70482 0.11924 0.70807 26.1076 0.123677 0.0467554 0
1.70482 0.11924 0.70807 38.5585 0.0373832 0.043933 0
1.70482 0.11924 0.70807 56.2306 0.104097 0.0807997 0
1.70482 0.11924 0.70807 158.762 -0.0468865 0.0966925 0
1.70482 0.11924 0.70807 283.326 -0.0687762 0.0902113 0
1.70482 0.11924 0.70807 315.838 0.0818363 0.0594665 0
1.70482 0.11924 0.70807 329.284 -0.0534399 0.0403024 0
1.70482 0.11924 0.70807 344.854 -0.0619937 0.0556368 0
1.92428 0.2129 0.79784 7.82146 0.0129974 0.0464091 0
1.92428 0.2129 0.79784 21.4056 0.0655673 0.0529185 0
1.92428 0.2129 0.79784 43.2145 -0.0246781 0.0912813 0
1.92428 0.2129 0.79784 104.668 0.442067 0.115981 0
1.92428 0.2129 0.79784 164.281 0.099055 0.10517 0
1.92428 0.2129 0.79784 241.86 -0.124562 0.141239 0
1.92428 0.2129 0.79784 291.857 -0.34783 0.127377 0
1.92428 0.2129 0.79784 322.304 -0.0502733 0.081232 0
1.92428 0.2129 0.79784 346.216 -0.0206719 0.029844 0
1.68406 0.11481 0.3203 15.5881 0.0875103 0.0724694 0
1.68406 0.11481 0.3203 33.3398 0.0229761 0.0468566 0
1.68406 0.11481 0.3203 46.8906 0.018288 0.0455745 0
1.68406 0.11481 0.3203 61.4391 0.144295 0.0647975 0
1.68406 0.11481 0.3203 107.988 0.133107 0.0774637 0
1.68406 0.11481 0.3203 247.388 -0.0591023 0.0779457 0
1.68406 0.11481 0.3203 299.834 -0.0683818 0.0674506 0
1.68406 0.11481 0.3203 314.25 -0.0819041 0.0424537 0
1.68406 0.11481 0.3203 332.645 -0.0484908 0.0403724 0
1.96658 0.18729 0.33239 7.83851 -0.018675 0.048485 0
1.96658 0.18729 0.33239 21.9552 0.0412149 0.0493754 0
1.96658 0.18729 0.33239 35.7655 -0.0100723 0.0725417 0
1.96658 0.18729 0.33239 68.7849 0.214967 0.104161 0
1.96658 0.18729 0.33239 130.325 0.258289 0.104638 0
1.96658 0.18729 0.33239 199.171 -0.128412 0.105785 0
1.96658 0.18729 0.33239 302.589 -0.16119 0.101804 0
1.96658 0.18729 0.33239 328.751 -0.137347 0.062988 0
1.96658 0.18729 0.33239 347.552 0.00181009 0.0374318 0
1.62846 0.1084 0.18806 10.5794 0.0737769 0.0662542 0
1.62846 0.1084 0.18806 27.6591 0.0775844 0.0541748 0
1.62846 0.1084 0.18806 42.1994 0.0200695 0.0489148 0
1.62846 0.1084 0.18806 56.6798 0.0706242 0.0534214 0
1.62846 0.1084 0.18806 71.2344 0.121102 0.0651503 0
1.62846 0.1084 0.18806 102.582 0.0519695 0.0733306 0
1.62846 0.1084 0.18806 249.508 0.0316304 0.0736079 0
1.62846 0.1084 0.18806 291.087 -0.0205259 0.0679331 0
1.62846 0.1084 0.18806 305.552 -0.153965 0.0465826 0
1.62846 0.1084 0.18806 319.666 -0.0291287 0.0478579 0
1.62846 0.1084 0.18806 340.347 -0.0538684 0.0459212 0
1.97822 0.15907 0.1985 7.7628 -0.0738233 0.0485358 0
1.97822 0.15907 0.1985 22.0286 0.0464454 0.0489307 0
1.97822 0.15907 0.1985 36.5568 -0.0442399 0.0630251 0
1.97822 0.15907 0.1985 52.1927 0.0594665 0.0911653 0
1.97822 0.15907 0.1985 91.1184 0.260585 0.0902518 0
1.97822 0.15907 0.1985 186.719 -0.0736629 0.0851754 0
1.97822 0.15907 0.1985 305.295 -0.162249 0.0960657 0
1.97822 0.15907 0.1985 322.291 -0.00962134 0.0684965 0
1.97822 0.15907 0.1985 336.927 -0.0963561 0.0529929 0
1.97822 0.15907 0.1985 352.127 -0.031526 0.0498612 0
2.89131 0.21358 0.85765 7.79442 0.0525993 0.0593838 0
2.89131 0.21358 0.85765 22.8812 0.0254765 0.0448438 0
2.89131 0.21358 0.85765 36.0851 0.0772431 0.0538014 0
2.89131 0.21358 0.85765 80.9124 0.0770604 0.0982528 0
2.89131 0.21358 0.85765 187.577 -0.0525047 0.109883 0
2.89131 0.21358 0.85765 285.363 -0.0744928 0.0968275 0
