id = 260
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = Priv comunication
inspiretex = Priv comunication
reference2 = bin averages by M.H. 


### Scattering Process

frame = Trento

in1particle = em
in1energy = 11
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us, syst error is approx 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2025 ALU
#                                             error
#   Q2     xB     -t      phi      ALU    stat     syst
#################################################################
1.70482 0.11924 0.70807 9.39002 0.0675696 0.0768184 0
1.70482 0.11924 0.70807 26.1076 0.133222 0.0441053 0
1.70482 0.11924 0.70807 38.5585 0.0875811 0.0411081 0
1.70482 0.11924 0.70807 56.2306 0.217876 0.0750415 0
1.70482 0.11924 0.70807 158.762 0.0515398 0.0898024 0
1.70482 0.11924 0.70807 283.326 -0.255169 0.0831092 0
1.70482 0.11924 0.70807 315.838 -0.0305203 0.0562353 0
1.70482 0.11924 0.70807 329.284 -0.0995817 0.0374658 0
1.70482 0.11924 0.70807 344.854 -0.0293826 0.0517955 0
1.92428 0.2129 0.79784 7.82146 -0.0132703 0.0434862 0
1.92428 0.2129 0.79784 21.4056 0.0128316 0.0499012 0
1.92428 0.2129 0.79784 43.2145 0.22663 0.083941 0
1.92428 0.2129 0.79784 104.668 0.118852 0.115764 0
1.92428 0.2129 0.79784 164.281 0.173957 0.0989614 0
1.92428 0.2129 0.79784 241.86 -0.166307 0.131027 0
1.92428 0.2129 0.79784 291.857 0.00273379 0.115759 0
1.92428 0.2129 0.79784 322.304 -0.115859 0.0754613 0
1.92428 0.2129 0.79784 346.216 -0.0722981 0.0278472 0
1.68406 0.11481 0.3203 15.5881 0.108745 0.0681873 0
1.68406 0.11481 0.3203 33.3398 0.20292 0.0432106 0
1.68406 0.11481 0.3203 46.8906 0.233564 0.0417778 0
1.68406 0.11481 0.3203 61.4391 0.196009 0.0609144 0
1.68406 0.11481 0.3203 107.988 0.220306 0.0724392 0
1.68406 0.11481 0.3203 247.388 -0.190853 0.0718347 0
1.68406 0.11481 0.3203 299.834 -0.145304 0.0625355 0
1.68406 0.11481 0.3203 314.25 -0.200246 0.0390583 0
1.68406 0.11481 0.3203 332.645 -0.114935 0.0375279 0
1.96658 0.18729 0.33239 7.83851 0.034567 0.0452141 0
1.96658 0.18729 0.33239 21.9552 0.148197 0.0459199 0
1.96658 0.18729 0.33239 35.7655 0.263737 0.0660654 0
1.96658 0.18729 0.33239 68.7849 0.429317 0.0958469 0
1.96658 0.18729 0.33239 130.325 0.217392 0.101012 0
1.96658 0.18729 0.33239 199.171 -0.26673 0.0970458 0
1.96658 0.18729 0.33239 302.589 -0.413888 0.0905957 0
1.96658 0.18729 0.33239 328.751 -0.168675 0.0580407 0
1.96658 0.18729 0.33239 347.552 -0.0864509 0.034996 0
1.62846 0.1084 0.18806 10.5794 0.00582955 0.0625595 0
1.62846 0.1084 0.18806 27.6591 0.13918 0.0507031 0
1.62846 0.1084 0.18806 42.1994 0.221239 0.0450267 0
1.62846 0.1084 0.18806 56.6798 0.178325 0.0496536 0
1.62846 0.1084 0.18806 71.2344 0.232826 0.06059 0
1.62846 0.1084 0.18806 102.582 0.331467 0.065884 0
1.62846 0.1084 0.18806 249.508 -0.0409984 0.0691227 0
1.62846 0.1084 0.18806 291.087 -0.145788 0.0630861 0
1.62846 0.1084 0.18806 305.552 -0.217285 0.0426794 0
1.62846 0.1084 0.18806 319.666 -0.154982 0.0444414 0
1.62846 0.1084 0.18806 340.347 -0.0593729 0.042744 0
1.97822 0.15907 0.1985 7.7628 0.102723 0.0448699 0
1.97822 0.15907 0.1985 22.0286 0.0596531 0.045897 0
1.97822 0.15907 0.1985 36.5568 0.205701 0.0576595 0
1.97822 0.15907 0.1985 52.1927 0.128799 0.0851479 0
1.97822 0.15907 0.1985 91.1184 0.16644 0.087301 0
1.97822 0.15907 0.1985 186.719 -0.0711283 0.0792118 0
1.97822 0.15907 0.1985 305.295 -0.337328 0.0862248 0
1.97822 0.15907 0.1985 322.291 -0.129345 0.0639087 0
1.97822 0.15907 0.1985 336.927 -0.0927566 0.0491921 0
1.97822 0.15907 0.1985 352.127 -0.0931359 0.0464491 0
2.89131 0.21358 0.85765 7.79442 -0.0519977 0.0559086 0
2.89131 0.21358 0.85765 22.8812 0.0665726 0.0419382 0
2.89131 0.21358 0.85765 36.0851 0.103816 0.0505242 0
2.89131 0.21358 0.85765 80.9124 0.257506 0.0909325 0
2.89131 0.21358 0.85765 187.577 -0.0503263 0.102363 0
2.89131 0.21358 0.85765 285.363 -0.214962 0.0895007 0
2.89131 0.21358 0.85765 319.512 -0.158026 0.0598379 0
2.89131 0.21358 0.85765 333.464 -0.124567 0.0380412 0
2.89131 0.21358 0.85765 348.651 -0.0425815 0.0423971 0
4.01413 0.37889 1.05297 7.36101 0.0357678 0.044546 0
4.01413 0.37889 1.05297 21.8716 0.0754986 0.0564264 0
4.01413 0.37889 1.05297 38.4198 0.202712 0.0838088 0
4.01413 0.37889 1.05297 67.1407 0.0524302 0.123507 0
4.01413 0.37889 1.05297 103.317 0.201538 0.129484 0
4.01413 0.37889 1.05297 134.98 0.240916 0.121272 0
4.01413 0.37889 1.05297 173.129 0.0332203 0.121364 0
4.01413 0.37889 1.05297 223.383 -0.0975103 0.131241 0
4.01413 0.37889 1.05297 266.36 -0.18971 0.175127 0
4.01413 0.37889 1.05297 301.573 -0.194419 0.108593 0
4.01413 0.37889 1.05297 325.939 -0.0446822 0.0800535 0
4.01413 0.37889 1.05297 347.846 -0.0406359 0.0348125 0
2.70265 0.18294 0.40095 7.71348 0.0425593 0.0561395 0
2.70265 0.18294 0.40095 23.3402 0.114232 0.0472148 0
2.70265 0.18294 0.40095 37.3143 0.17988 0.0464509 0
2.70265 0.18294 0.40095 51.0229 0.216311 0.0676267 0
2.70265 0.18294 0.40095 109.137 0.144332 0.0750533 0
2.70265 0.18294 0.40095 248.567 -0.199285 0.0738158 0
2.70265 0.18294 0.40095 309.232 -0.205981 0.0671077 0
2.70265 0.18294 0.40095 323.471 -0.0990145 0.0437422 0
2.70265 0.18294 0.40095 343.54 -0.0946233 0.0358378 0
3.62497 0.29778 0.41792 7.33218 -0.0221692 0.0455451 0
3.62497 0.29778 0.41792 22.2104 0.155998 0.0471327 0
3.62497 0.29778 0.41792 36.9107 0.249531 0.0599605 0
3.62497 0.29778 0.41792 58.3637 0.256459 0.0842956 0
3.62497 0.29778 0.41792 95.1789 0.487567 0.0903344 0
3.62497 0.29778 0.41792 141.692 0.256544 0.093427 0
3.62497 0.29778 0.41792 208.272 0.0390947 0.0950355 0
3.62497 0.29778 0.41792 287.594 -0.268745 0.0919634 0
3.62497 0.29778 0.41792 320.466 -0.170295 0.0739624 0
3.62497 0.29778 0.41792 335.334 -0.0623487 0.0534645 0
3.62497 0.29778 0.41792 351.438 0.0209389 0.0414825 0
2.56688 0.16542 0.22138 7.51375 0.0158105 0.0532343 0
2.56688 0.16542 0.22138 22.8228 0.0810417 0.0457314 0
2.56688 0.16542 0.22138 37.1435 0.10434 0.0449472 0
2.56688 0.16542 0.22138 51.4048 0.215151 0.0566323 0
2.56688 0.16542 0.22138 70.705 0.322623 0.0677843 0
2.56688 0.16542 0.22138 210.605 -0.0917856 0.0714 0
2.56688 0.16542 0.22138 301.704 -0.169685 0.0703323 0
2.56688 0.16542 0.22138 316.212 -0.0956036 0.0481885 0
2.56688 0.16542 0.22138 330.733 -0.12499 0.0465857 0
2.56688 0.16542 0.22138 348.569 -0.0331081 0.0435755 0
3.26336 0.23598 0.24356 7.52713 0.0641268 0.0418476 0
3.26336 0.23598 0.24356 22.1899 0.0896295 0.0446216 0
3.26336 0.23598 0.24356 37.0617 0.148795 0.0561014 0
3.26336 0.23598 0.24356 53.1899 0.259663 0.0726641 0
3.26336 0.23598 0.24356 86.2969 0.143728 0.0780147 0
3.26336 0.23598 0.24356 191.483 -0.0240627 0.0785998 0
3.26336 0.23598 0.24356 306.642 -0.180883 0.0731512 0
3.26336 0.23598 0.24356 325.624 -0.115296 0.056101 0
3.26336 0.23598 0.24356 346.838 -0.0684273 0.0325372 0
